paramID	id	dbh	height	CR	perc_exposed
9	87457	0.12	19.06	2.64	0
9	86939	0.13	13.25	1.59	0
9	86509	0.33	34.6	3.58	85
9	181054	0.11	17.59	2.45	0
9	92620	0.28	29.27	2.33	100
9	92933	0.17	20.43	1.77	88.89
9	250178	0.11	18.24	1.15	0
9	135116	0.13	22.25	2.03	0
9	172882	0.16	19.97	2.79	4.17
9	77016	0.18	23.22	2.19	73.33
9	75406	0.17	21.14	2.16	0
9	75435	0.3	33.04	4.36	35.59
9	77086	0.17	25.41	4.83	68.49
9	173094	0.17	25.66	4.29	98.21
9	173095	0.12	22.02	2.08	0
9	81666	0.2	24.03	3.75	25
9	81208	0.26	36.47	4.76	66.2
9	183732	0.12	20.66	2.79	0
9	81357	0.18	18.7	1.6	0
9	178397	0.16	24.9	4.85	52.31
9	183731	0.12	18.87	2.26	21.43
9	87192	0.41	29.19	5.75	75.73
9	86241	0.19	27.04	2.17	0
9	86911	0.15	20.56	2.29	12.5
9	87220	0.11	18.65	1.89	0
9	86669	0.23	30.42	3.16	80.65
9	86919	0.22	27.31	3.75	31.82
9	250071	0.11	19.79	3.49	0
9	86868	0.53	32.75	5.86	96
9	87414	0.18	20.6	2.88	0
9	93771	0.11	14.73	1.98	0
9	93218	0.14	18.48	1.82	20
9	93242	0.13	15.95	2.19	0
9	92935	0.25	27.75	4.27	100
9	93216	0.16	14.99	1.69	0
9	93154	0.12	17.54	1.88	0
9	135146	0.23	22.97	4.1	26.92
9	134077	0.24	25.8	3.76	75
9	134240	0.2	25.56	2.9	15.38
9	134239	0.49	25.86	5.4	78.02
9	135178	0.16	22.71	3.05	0
9	135306	0.29	27.31	3.97	63.27
9	135498	0.12	19.42	3	0
9	134571	0.3	28.94	3.59	75
9	134589	0.14	18.89	1.23	0
9	134588	0.45	29.19	4.41	77.05
9	135241	0.19	21.28	3.37	0
9	135411	0.12	17.18	2.31	0
9	135406	0.12	17.97	3.34	5.88
9	75411	0.67	50.43	10.54	89.66
9	180606	0.11	16.56	1.76	0
9	75436	0.39	27.92	2.81	0
9	76991	0.13	18.6	1.48	0
9	77013	0.14	26.12	1.99	0
9	76729	0.21	23.25	3.15	45.16
9	81935	0.21	28.16	3.47	0
9	236366	0.11	21.79	1.28	0
9	81712	0.11	19.04	1.22	0
9	81619	0.27	30.22	3.32	0
9	81929	0.19	33.35	3.02	25
9	81981	0.17	23.65	2.91	11.54
9	81994	0.66	40.39	4.53	100
9	171541	0.21	26.66	4.44	65.91
9	173241	0.12	17.81	2.41	0
9	87347	0.42	25.15	4.79	11.11
9	86210	0.21	20.81	2.39	0
9	86972	0.12	15.09	1.77	0
9	86510	0.35	32.51	3.25	21.21
9	180852	0.11	19.28	2.61	57.14
9	92169	0.15	26.9	2.8	87.5
9	93241	0.21	25.65	3.22	34.38
9	93770	0.11	19.48	1.23	0
9	93453	0.44	32.05	6.66	76.98
9	93546	0.18	22.15	2.53	35
9	93542	0.24	22.72	2.36	47.06
9	92768	0.33	26.61	4.58	67.69
9	171786	0.16	19.49	2.99	42.86
9	178608	0.12	18.33	2.43	22.22
9	93757	0.22	22.01	3.23	3.12
9	134380	0.39	28.14	4.64	67.16
9	134420	0.33	28.1	5.15	78.31
9	135305	0.17	24.56	3.28	0
9	134959	0.22	29.29	2.82	80
9	75405	0.23	30.61	4.23	0
9	75441	0.19	28.2	2.43	0
9	77017	0.11	15.18	2.09	0
9	76553	0.19	29.48	2.8	87.5
9	76554	0.13	19.26	1.55	0
9	76725	0.19	20.76	2.65	13.64
9	76728	0.23	24.64	3.24	84.38
9	77087	0.15	19.42	2.02	0
9	80827	0.13	14.02	1.4	75
9	236367	0.12	18.11	3.82	0
9	81829	0.39	31.28	7.69	91.89
9	173150	0.11	18.62	1.88	0
9	179446	0.11	20.35	1.66	0
9	86208	0.32	29.92	4.19	81.82
9	86243	0.14	21.61	1.86	0
9	236407	0.1	17.23	1.2	0
9	250153	0.12	19.3	2.04	0
9	92267	0.2	23.31	2.97	11.11
9	93543	0.15	20.85	2.88	0
9	93448	0.17	24.25	2.54	5
9	93764	0.21	25.13	2.64	52.38
9	183974	0.14	19.22	1.92	27.27
9	93371	0.32	22.8	4.16	64.81
9	171785	0.12	20.97	3.08	58.62
9	179641	0.15	18.79	2.44	5.56
9	92936	0.14	20.06	2.03	30.77
9	93151	0.31	29.11	5.02	100
9	93157	0.13	19.03	2.5	21.05
9	93162	0.25	27.12	4.42	84
9	93840	0.22	26.36	2.19	83.33
9	93839	0.15	24.41	2.69	6.25
9	237306	0.11	21	1.71	0
9	135457	0.17	22	3.55	20.51
9	134242	0.32	27.79	3.97	75.51
9	135301	0.16	20.13	1.85	30
9	135304	0.14	19.09	1.66	0
9	172881	0.13	21.22	3.03	0
9	135231	0.14	20.64	2.65	9.09
9	180607	0.15	17.35	1.79	0
9	76381	0.15	24.04	2.77	70.83
9	76403	0.24	26.03	3.68	71.43
9	179443	0.13	21.22	2.19	80
9	81912	0.28	32.45	4.37	56.67
9	80974	0.19	30.94	2.9	11.54
9	81673	0.11	14.2	1.53	0
9	81773	0.33	44.1	5.81	86.79
9	81774	0.36	41.81	8.85	75.2
9	81580	0.14	21.71	2.14	85.71
9	183730	0.14	21.93	2.04	61.54
9	83021	0.13	21.16	2.1	0
9	86508	0.37	32.05	5.78	47.62
9	86665	0.32	29.73	2.99	42.86
9	86664	0.16	18.49	2.26	0
9	87409	0.21	24.39	4.08	28.85
9	93271	0.29	24.3	4.08	32.69
9	92594	0.31	26.81	3.79	71.11
9	92767	0.23	26.98	3.3	76.47
9	173370	0.13	22.4	1.35	0
9	93150	0.37	27.81	3.13	0
9	134078	0.29	26.56	4.23	78.57
9	135180	0.24	19.71	2.21	0
