"","Estimate","Est.Error","Q2.5","Q97.5"
"7896",25.3188081694243,3.05943168345919,19.3357649401787,31.2536619356266
"7897",25.3263647638773,3.04281927150956,19.4595724228368,31.255240562334
"7898",25.1725133435551,3.08735616396916,19.1868765250541,31.2940701637105
"7899",28.1044286160446,3.06232333723929,21.989006509339,34.1413268407932
"7900",23.8487309465737,3.05326606817504,17.8401841876474,29.7262354247256
"7901",28.4833915025205,3.09015405299155,22.5406372101731,34.5619099822812
"7902",25.5255289494658,3.04946453352094,19.5807192123595,31.4461589196506
"7903",23.5160944015391,3.00756590898137,17.6186343759019,29.4384175789012
"7904",25.8293292465419,3.07107038645487,19.840457142574,31.7979708932975
"7905",24.3849809000207,3.08479044779508,18.2040711883056,30.4355176271482
"7906",24.8886002570524,3.06619032764051,18.9284628948278,31.0095538797868
"7907",23.7565707305981,3.00983438619183,17.8867734128825,29.66783250933
"7908",23.5644208951095,3.03715749487242,17.644520572111,29.4911972416662
"7909",26.8290418786098,3.05765651342519,20.8530212011622,32.7362565894541
"7910",31.6074044625639,3.03980184313103,25.6226919379985,37.4859794148406
"7911",28.3148867331397,3.06443906919113,22.4005940902596,34.1808521712394
"7912",27.4176473059657,3.02900396899511,21.4939710122067,33.5092567801581
"7913",33.6657312287485,3.02969982942025,27.7322095470342,39.5555150621259
"7914",31.9951114206652,3.06084339221009,26.0889507212244,37.9009728652507
"7915",31.0880940746841,3.10063070792384,25.092938045846,37.159100324187
"7916",29.0346034612029,3.08137780307526,23.0877800749013,35.0810402714468
"7917",24.8963051193137,3.10116918361152,18.720081961884,30.9581037579003
"7918",33.6993783857571,3.07121405637804,27.7573261249719,39.6840006912264
"7919",24.8786970861068,3.05247861586493,18.9642991288024,30.7080746373326
"7920",32.0059253914758,3.0580079627781,26.1543651844436,38.0030139964661
"7921",32.0041919741802,3.0403546431341,25.9388989731381,37.9144340911999
"7922",32.3008497074052,3.10741846422816,26.3032313341275,38.3639111951922
"7923",31.687552926131,3.06970183895155,25.5890781945553,37.815173566242
"7924",32.4306222248075,3.0580750619227,26.511417053631,38.4204698364637
"7925",34.660042177699,3.05349945853458,28.6563948494859,40.6221342091992
"7926",36.4455155487318,3.07409455101164,30.5302183671642,42.3630176403043
"7927",26.4850526824886,3.0421175805374,20.532633680797,32.4059966856698
"7928",34.0208655921148,3.06889973964785,28.1564037309399,40.1961539294156
"7929",30.510520090082,3.04385953951504,24.4982780808989,36.5396801586421
"7930",26.9462501413613,3.04419736701974,20.962574833443,32.8453772358581
"7931",35.5883521616516,3.06411167915151,29.6126125713549,41.6322326463281
"7932",36.2760015287617,3.07237647457076,30.2152234491552,42.2800390221391
"7933",34.8740517970407,3.06690204436224,28.9893299713368,40.8944975988395
"7934",33.5794662548797,3.08902925831167,27.470990766259,39.4832170233078
"7935",33.0411500656759,3.0625004638458,27.0621531344232,38.9685457590276
"7936",27.3988639152432,3.05456154641347,21.3369620854419,33.260983576671
"7937",29.0152723957297,3.05900904759146,23.0582853601572,35.0698364758416
"7938",26.9806988155698,3.02261188161458,21.0268369394731,32.8484875297021
"7939",26.1866293018891,3.08779004507096,20.2165511547986,32.1157467618256
"7940",31.4965436528638,3.06144179922334,25.4932034717407,37.5404991991171
"7941",30.5960072119644,3.08680182488142,24.5361021493972,36.5822667748174
"7942",27.3878622231486,3.0194395446242,21.4714832884745,33.2296117323534
"7943",27.6989493026508,3.04189913152477,21.8705946857323,33.6427787344902
"7944",36.3713029472356,3.07533559538984,30.3239302557565,42.3802328780711
"7945",30.7888335002203,3.05420240038226,24.9325151338558,36.8756681368995
"7946",30.9400630735035,3.06786382502977,24.9803721383726,37.0776081049205
"7947",34.0904090218407,3.03928224010651,28.1245289091442,40.0408110329437
"7948",31.4436763850168,2.99363436340042,25.536949554247,37.2794667682212
"7949",27.1938632052039,3.06103284917881,21.1691308410492,33.1532731021311
"7950",25.9003277485199,3.09919481959138,19.8444785922542,32.0435445782261
"7951",32.6673213810094,3.08914053587616,26.7768066768911,38.6479452975394
"7952",32.7889011268174,3.01372534052669,26.8900153992402,38.5562676023421
"7953",28.1436698025312,3.10632143047721,22.0957588788467,34.3462598876203
"7954",26.7648054376687,3.09989182023749,20.7389483752528,32.8481202929864
"7955",27.2226200469996,3.06264522440502,21.1427347831721,33.2643352121414
